"spp_extant","genus","accepted_name","accepted_rank","max_ma","min_ma","fossil_site","source"
"extant","Varanus","Varanus bengalensis","species",2.58,0.012,"Billa Surga Caves","literature"
"extinct","Varanus","Varanus bolkayi","species",1.8,0.012,"Trinil Beds","literature"
"extinct","Varanus","Varanus darevskii","species",5,4,"Magianskaia Svita","literature"
"extinct","Varanus","Varanus dirus","species",5.33,3.6,"Chinchilla Sands","literature"
"extinct","Varanus","Varanus dirus","species",1.8,0.012,"Darling Downs","literature"
"extinct","Varanus","Varanus emeritus","species",1.8,0.012,"Darling Downs","literature"
"extant","Varanus","Varanus exanthematicus","species",0.0117,0,"Shaqdud S1-A ETE Locality 721, Shaqdud S1-A,","PDB"
"extant","Varanus","Varanus exanthematicus","species",0.0117,0,"Shaqadud S1-B ETE Locality 722, Shaqadud S1-B,","PDB"
"extant","Varanus","Varanus exanthematicus","species",0.0117,0,"Shaqadud S21 ETE Locality 723, Shaqadud S21,","PDB"
"extant","Varanus","Varanus exanthematicus","species",0.0117,0,"Shaqadud S1-A ETE Locality 777, Shaqadud S1-A,","PDB"
"extant","Varanus","Varanus giganteus","species",2.58,0.012,"Wellington Caves","literature"
"extant","Varanus","Varanus gouldii","species",2.58,0.012,"Henschke's Fossil Cave","literature"
"extant","Varanus","Varanus gouldii","species",1.8,0.012,"Victoria Fossil Cave","literature"
"extant","Varanus","Varanus gouldii","species",0.0362,3.14e-05,"Henschke Cave; Naracoorte","FosSahul"
"extinct","Varanus","Varanus hoffmanni","species",16.9,15.97,"Córcoles Córcoles A and B","PDB"
"extinct","Varanus","Varanus hoffmanni","species",11.608,8.7,"Sant Miquel de Toudell","PDB"
"extinct","Varanus","Varanus hoffmanni","species",8.7,5.333,"Polgárdi 5","PDB"
"extinct","Varanus","Varanus hofmanni","species",15.97,11.63,"Burdigalian","literature"
"extinct","Varanus","Varanus hofmanni","species",11.63,5.33,"Dinotheriensande","literature"
"extinct","Varanus","Varanus hofmanni","species",11.63,5.33,"Helvetian","literature"
"extinct","Varanus","Varanus hofmanni","species",11.63,5.33,"Vindobonian","literature"
"extinct","Varanus","Varanus hofmanni","species",11.63,5.33,"Vallesian","literature"
"extinct","Varanus","Varanus hooijeri","species",0.012,0.005,"Michael Cave","literature"
"extinct","Varanus","Varanus hooijeri","species",0.0117,0,"Liang Michael","PDB"
"extinct","Varanus","Varanus hooijeri","species",0.0117,0,"Liang Toge","PDB"
