Species	Status
Varanus_bengalensis	extant
Varanus_bolkayi	extinct
Varanus_darevskii	extinct
Varanus_dirus	extinct
Varanus_emeritus	extinct
Varanus_exanthematicus	extant
Varanus_giganteus	extant
Varanus_gouldii	extant
Varanus_hoffmanni	extinct
Varanus_hofmanni	extinct
Varanus_hooijeri	extinct
Varanus_komodoensis	extant
Varanus_marathonensis	extinct
Varanus_mokrensis	extinct
Varanus_niloticus	extant
Varanus_priscus	extinct
Varanus_pronini	extinct
Varanus_rusingensis	extinct
Varanus_salvator	extant
Varanus_sivalensis	extinct
Varanus_sp.1	extinct
Varanus_sp.2	extinct
Varanus_sp.3	extinct
Varanus_sp.4	extinct
Varanus_sp.5	extinct
Varanus_sp.6	extinct
Varanus_sp.7	extinct
Varanus_tyrasiensis	extinct
Varanus_varius	extant
